日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-12-17,7.44,7.49,7.39,7.39,-0.03,-0.40,"425,905","31,603",1.35,0.60
2021-12-16,7.37,7.45,7.36,7.42,0.04,0.54,"450,463","33,354",1.22,0.63
2021-12-15,7.40,7.48,7.37,7.38,-0.02,-0.27,"442,017","32,754",1.49,0.62
2021-12-14,7.47,7.47,7.37,7.40,-0.14,-1.86,"651,912","48,271",1.33,0.92
2021-12-13,7.47,7.71,7.44,7.54,0.15,2.03,"1,091,936","82,929",3.65,1.54
2021-12-10,7.51,7.53,7.38,7.39,-0.16,-2.12,"744,852","55,331",1.99,1.05
2021-12-09,7.55,7.62,7.52,7.55,-0.03,-0.40,"752,444","56,945",1.32,1.06
2021-12-08,7.57,7.58,7.45,7.58,-0.04,-0.52,"866,944","65,045",1.71,1.22
2021-12-07,7.42,7.65,7.40,7.62,0.30,4.10,"1,561,835","117,921",3.42,2.20
2021-12-06,7.42,7.56,7.30,7.32,-0.08,-1.08,"795,441","59,213",3.51,1.12
2021-12-03,7.37,7.46,7.27,7.40,-0.04,-0.54,"950,439","69,972",2.55,1.34
2021-12-02,7.08,7.56,7.05,7.44,0.35,4.94,"1,709,269","125,166",7.19,2.41
2021-12-01,7.02,7.14,6.99,7.09,0.11,1.58,"600,437","42,495",2.15,0.85
2021-11-30,6.94,7.02,6.93,6.98,0.05,0.72,"394,963","27,543",1.30,0.56
2021-11-29,6.95,6.98,6.90,6.93,-0.10,-1.42,"417,063","28,949",1.14,0.59
2021-11-26,7.07,7.09,7.02,7.03,-0.06,-0.85,"365,868","25,760",0.99,0.52
2021-11-25,7.10,7.14,7.03,7.09,-0.01,-0.14,"424,256","30,041",1.55,0.60
2021-11-24,7.17,7.17,7.06,7.10,-0.08,-1.11,"587,179","41,631",1.53,0.83
2021-11-23,6.98,7.18,6.94,7.18,0.20,2.87,"1,054,641","74,859",3.44,1.49
2021-11-22,6.89,7.04,6.88,6.98,0.09,1.31,"750,715","52,460",2.32,1.06
2021-11-19,6.87,6.90,6.80,6.89,0.01,0.15,"669,021","45,780",1.45,0.94
2021-11-18,6.91,6.91,6.84,6.88,-0.02,-0.29,"375,391","25,761",1.01,0.53
2021-11-17,6.87,6.92,6.81,6.90,0.02,0.29,"408,632","28,045",1.60,0.58
2021-11-16,6.92,6.97,6.86,6.88,-0.04,-0.58,"427,770","29,583",1.59,0.60
2021-11-15,6.88,6.95,6.87,6.92,0.01,0.14,"436,910","30,158",1.16,0.62
2021-11-12,7.04,7.05,6.87,6.91,-0.13,-1.85,"664,113","45,938",2.56,0.94
2021-11-11,6.88,7.06,6.86,7.04,0.13,1.88,"702,883","49,209",2.89,0.99
2021-11-10,7.01,7.01,6.83,6.91,-0.12,-1.71,"740,787","51,082",2.56,1.04
2021-11-09,7.14,7.17,7.00,7.03,-0.10,-1.40,"463,905","32,659",2.38,0.65
2021-11-08,7.10,7.19,7.09,7.13,0.05,0.71,"442,436","31,595",1.41,0.62
2021-11-05,7.02,7.16,6.96,7.08,0.04,0.57,"607,663","43,078",2.84,0.86
2021-11-04,7.03,7.05,6.96,7.04,0.04,0.57,"492,011","34,468",1.29,0.69
2021-11-03,7.00,7.07,6.94,7.00,-0.01,-0.14,"521,077","36,412",1.85,0.73
2021-11-02,7.28,7.33,6.95,7.01,-0.25,-3.44,"1,037,464","73,636",5.23,1.46
2021-11-01,7.29,7.36,7.14,7.26,-0.03,-0.41,"590,256","42,790",3.02,0.83
2021-10-29,7.25,7.38,7.05,7.29,-0.12,-1.62,"822,927","59,855",4.45,1.16
2021-10-28,7.67,7.67,7.36,7.41,-0.27,-3.52,"814,629","60,644",4.04,1.15
2021-10-27,7.88,7.89,7.65,7.68,-0.23,-2.91,"685,707","52,989",3.03,0.97
2021-10-26,7.94,8.02,7.88,7.91,-0.03,-0.38,"442,231","35,048",1.76,0.62
2021-10-25,8.00,8.01,7.89,7.94,-0.11,-1.37,"540,014","42,817",1.49,0.76
2021-10-22,7.86,8.08,7.82,8.05,0.18,2.29,"825,796","65,910",3.30,1.16
2021-10-21,7.88,7.92,7.80,7.87,0.00,0.00,"383,917","30,146",1.52,0.54
2021-10-20,8.02,8.03,7.82,7.87,-0.15,-1.87,"573,728","45,366",2.62,0.81
2021-10-19,7.88,8.03,7.82,8.02,0.14,1.78,"605,511","48,134",2.67,0.85
2021-10-18,7.83,7.89,7.72,7.88,0.05,0.64,"430,651","33,642",2.17,0.61
2021-10-15,7.96,7.97,7.81,7.83,-0.12,-1.51,"470,623","36,963",2.01,0.66
2021-10-14,7.96,8.03,7.89,7.95,-0.02,-0.25,"412,926","32,818",1.76,0.58
2021-10-13,7.90,8.00,7.87,7.97,0.03,0.38,"452,328","35,881",1.64,0.64
2021-10-12,8.17,8.17,7.86,7.94,-0.27,-3.29,"927,890","73,856",3.78,1.31
2021-10-11,8.30,8.35,8.19,8.21,-0.12,-1.44,"662,677","54,652",1.92,0.93
2021-10-08,8.29,8.39,8.15,8.33,0.08,0.97,"838,558","69,342",2.91,1.18
